protocolNumber,oldIrbNo,newIrbNo
CV-2018-26398,STUDY00002394,SITE00000131
CV-2018-27346,STUDY00005817,SITE00000485
CV-2019-27703,STUDY00006276,SITE00000519
CV-2020-29068,STUDY00010692,SITE00000959
CV-2021-29872,STUDY00013843,SITE00001298
CV-2021-30181,STUDY00014771,SITE00001423
CV-2021-30197,STUDY00014234,SITE00001336
CV-2021-30234,STUDY00015316,SITE00001488
CV-2022-31579,STUDY00018027,SITE00001824
CV-2023-32184,STUDY00020226,SITE00002070
DEM-2023-31500,STUDY00018544,SITE00001869
DENT-2021-30508,STUDY00015571,SITE00001524
DERM-2017-25959,STUDY00001178,SITE00000023
DERM-2018-26785,STUDY00004111,SITE00000324
DERM-2018-26793,STUDY00005177,SITE00000427
DERM-2018-27000,STUDY00005149,SITE00000425
DERM-2018-27040,STUDY00004904,SITE00000396
DERM-2018-27313,STUDY00005268,SITE00000434
DERM-2019-27403,STUDY00005829,SITE00000486
DERM-2019-27832,STUDY00007379,SITE00000631
DERM-2019-27927,STUDY00007049,SITE00000593
DERM-2019-27930,STUDY00007218,SITE00000609
DERM-2019-28114,STUDY00007404,SITE00000634
DERM-2020-28488,STUDY00008863,SITE00000761
DERM-2020-28595,STUDY00009908,SITE00000872
DERM-2020-28849,STUDY00010223,SITE00000906
DERM-2020-29003,STUDY00010630,SITE00000946
DERM-2020-29099,STUDY00011022,SITE00000998
DERM-2020-29204,STUDY00011025,SITE00000999
DERM-2021-29497,STUDY00012359,SITE00001132
DERM-2021-29498,STUDY00012402,SITE00001141
DERM-2021-29806,STUDY00013038,SITE00001219
DERM-2021-30450,STUDY00014855,SITE00001430
DERM-2021-30507,STUDY00014901,SITE00001436
DERM-2022-30916,STUDY00016526,SITE00001637
DERM-2022-31090,STUDY00016860,SITE00001688
DERM-2022-31153,STUDY00017979,SITE00001818
DERM-2022-31157,STUDY00017482,SITE00001757
DERM-2022-31248,STUDY00017512,SITE00001761
DERM-2022-31378,STUDY00017885,SITE00001810
DERM-2022-31461,STUDY00018843,SITE00001896
DERM-2023-31717,STUDY00018746,SITE00001885
DERM-2023-31788,STUDY00019049,SITE00001917
DERM-2023-31878,STUDY00019976,SITE00002038
DERM-2023-31959,STUDY00019384,SITE00001967
DERM-2023-31996,STUDY00020087,SITE00002046
EM-30151-2021,STUDY00013934,SITE00001307
ENT-2017-24411,STUDY00000133,SITE00000066
ENT-2021-29760,STUDY00013859,SITE00001300
ENT-2022-31139,STUDY00017564,SITE00001771
FMCH-2020-29338,STUDY00012132,SITE00001110
FMCH-2021-29672,STUDY00010569,SITE00000941
FVCTS-2017-25434,STUDY00001304,SITE00000112
FVCTS-2017-25439,STUDY00000210,SITE00000135
FVCTS-2017-25754,STUDY00001063,SITE00000098
FVCV-2017-25722,STUDY00000935,SITE00000122
FVCV-2021-DEFINE,STUDY00013653,SITE00001275
FVCV-2021-EXPANSE-PTCA,STUDY00014775,SITE00001424
FVCV-2021-FINEARTS-HF,STUDY00012258,SITE00001123
FVCV-2021-GARMINECG-002,STUDY00012257,SITE00001122
FVCV-2021-GOREPFO,STUDY00010818,SITE00000970
FVCV-2021-OBAN,STUDY00014400,SITE00001360
FVCV-2021-RAPTOR,STUDY00011725,SITE00001076
FVCV-2022-GLAS,STUDY00015897,SITE00001568
FVCV-2022-OLPASIRANCVOT,STUDY00017060,SITE00001717
FVCV-2022-REDWOOD,STUDY00017307,SITE00001737
FVCV-2023-HERMES,STUDY00019082,SITE00001919
FVCV-2023-LUXDXTRENDS,STUDY00018527,SITE00001864
FVCV-2023-MERCK-MK0616015,STUDY00019804,SITE00002017
FVCV-2023-OCEANIC,STUDY00017792,SITE00001799
FVCV-2023-PHILIPMORRISCVD,STUDY00017980,SITE00001819
FVCV-2023-SURMOUNTMMO,STUDY00018368,SITE00001848
FVCV-2023-VICTORION1PREVENT,STUDY00020048,SITE00002044
FVFMG-2017-25794,STUDY00000607,SITE00000036
FVFRA-2018-26876,STUDY00003641,SITE00000273
FVFT-2023-BONDI,STUDY00020098,SITE00002048
FVFT-2023-MERCK-MK0616013,STUDY00019628,SITE00001991
FVFT-2023-THUNDERDOME,STUDY00019188,SITE00001930
FVMNCCTN-2022-CBD-CIPN,STUDY00016749,SITE00001664
GI-2017-25658,STUDY00000292,SITE00000059
GI-2018-26501,STUDY00003126,SITE00000206
GI-2018-26503,STUDY00003227,SITE00000213
GI-2018-26505,STUDY00003228,SITE00000214
GI-2018-26506,STUDY00003229,SITE00000215
GI-2018-27120,STUDY00004537,SITE00000360
GI-2018-27358,STUDY00004817,SITE00000387
GI-2018-27375,STUDY00005446,SITE00000452
GI-2019-27828,STUDY00006775,SITE00000561
GI-2019-27884,STUDY00006793,SITE00000570
GI-2019-27928,STUDY00007196,SITE00000603
GI-2019-28330,STUDY00013468,SITE00001264
GI-2020-28623,STUDY00009260,SITE00000797
GI-2020-28679,STUDY00009390,SITE00000817
GI-2020-28850,STUDY00009961,SITE00000877
GI-2020-28957,STUDY00010237,SITE00000908
GI-2020-29305,STUDY00011302,SITE00001029
GI-2021-29638,STUDY00012441,SITE00001147
GI-2021-29777,STUDY00013059,SITE00001222
GI-2021-29862,STUDY00013132,SITE00001226
GI-2022-30738,STUDY00015558,SITE00001521
GI-2022-30752,STUDY00015624,SITE00001526
GI-2022-30815,STUDY00015837,SITE00001560
GI-2022-31304,STUDY00017191,SITE00001726
GI-2022-31440,STUDY00017604,SITE00001774
GI-2023-32303,STUDY00020223,SITE00002068
GIM-2018-26768,STUDY00003818,SITE00000294
GIM-2020-29324,STUDY00011393,SITE00001040
HOT-2023-31910,STUDY00019417,SITE00001970
IDIM-2017-25568,STUDY00000611,SITE00000028
IDIM-2017-25948,STUDY00001879,SITE00000053
IDIM-2020-28544,STUDY00008758,SITE00000754
IDIM-2020-28660,STUDY00009224,SITE00000792
IDIM-2020-28708,STUDY00009701,SITE00000850
IDIM-2020-28770,STUDY00009703,SITE00000851
IDIM-2020-29185,STUDY00010887,SITE00000983
IDIM-2020-29206,STUDY00010950,SITE00000990
IDIM-2020-29269,STUDY00011184,SITE00001015
IDIM-2021-29648,STUDY00012475,SITE00001151
IDIM-2021-29773,STUDY00012850,SITE00001197
IDIM-2021-30460,STUDY00014641,SITE00001400
IDIM-2022-31098,STUDY00016593,SITE00001644
IDIM-2022-31448,STUDY00017655,SITE00001781
IDIM-2023-31815,STUDY00018773,SITE00001888
LMP-2020-28567,STUDY00007608,SITE00000656
LMP-2020-29136,STUDY00010852,SITE00000974
LMP-2021-29786,STUDY00013172,SITE00001231
MED-2016-25264,STUDY00000216,SITE00000077
MED-2017-25578,STUDY00000288,SITE00000078
MED-2017-26103,STUDY00001420,SITE00000019
MED-2018-27214,STUDY00004854,SITE00000390
MED-2020-28832,STUDY00010803,SITE00000968
MED-2020-28886,STUDY00010124,SITE00000894
MED-2020-28920,STUDY00010102,SITE00000892
MED-2021-29452,STUDY00011953,SITE00001096
MED-2021-30027,STUDY00013589,SITE00001271
MED-2021-30168,STUDY00014273,SITE00001340
MED-2022-30633,STUDY00015741,SITE00001547
NEPH-2019-28024,STUDY00007136,SITE00000599
NEPH-2019-28115,STUDY00007354,SITE00000625
NEPH-2020-28769,STUDY00009792,SITE00000861
NEPH-2020-29225,STUDY00011203,SITE00001018
NEPH-2021-30218,STUDY00014839,SITE00001428
NEPH-2022-30962,STUDY00013784,SITE00001290
Neur-2016-25339,1603M85862,SITE00000042
Neur-2017-26185,STUDY00001759,SITE00000130
Neur-2018-26402,STUDY00002349,SITE00000095
NEUR-2018-27602,STUDY00006842,SITE00000574
NEUR-2019-27397,STUDY00006255,SITE00000518
NEUR-2019-28132,STUDY00007399,SITE00000633
NEUR-2019-28159,STUDY00008045,SITE00000694
NEUR-2020-28784,STUDY00014952,SITE00001442
NEUR-2020-28940,STUDY00010021,SITE00000881
NEUR-2020-28947,STUDY00010252,SITE00000909
NEUR-2020-28948,STUDY00010255,SITE00000910
NEUR-2020-28949,STUDY00010256,SITE00000911
NEUR-2021-29664,STUDY00012513,SITE00001154
NEUR-2021-29928,STUDY00016707,SITE00001658
NEUR-2021-30478,STUDY00014762,SITE00001422
NEUR-2022-31320,STUDY00017468,SITE00001755
NEUR-2022-31334,STUDY00017411,SITE00001745
NEUR-2022-31350,STUDY00017691,SITE00001787
NEUR-2022-31503,STUDY00017835,SITE00001804
NEUR-2023-32137,STUDY00019775,SITE00002015
NEUR-2023-32197,STUDY00019920,SITE00002033
NEURO-2020-28491,STUDY00011123,SITE00001009
NEURO-2020-28994,STUDY00010867,SITE00000978
NEURO-2021-29285,STUDY00011864,SITE00001087
Neurosurg-2016-25055,1609M94441,SITE00000089
NEUROSURG-2018-27160,STUDY00004703,SITE00000373
NEUROSURG-2023-31654,STUDY00018057,SITE00001829
OBGYN-2020-29372,STUDY00011261,SITE00001024
OBGYN-2021-30488,STUDY00015479,SITE00001507
OBGYN-2022-30966,STUDY00016327,SITE00001613
OPH-2022-31242,STUDY00017095,SITE00001719
OPH-2022-31317,STUDY00017549,SITE00001768
OPH-2023-31975,STUDY00019327,SITE00001950
ORSU-2018-26590,STUDY00003117,SITE00000205
ORSU-2018-26731,STUDY00002789,SITE00000183
ORSU-2020-29161,STUDY00010820,SITE00000971
OTOL-2022-30785,STUDY00016461,SITE00001629
OVNS-2017-25912,STUDY00000853,SITE00000086
OVNS-2017-25913,STUDY00000872,SITE00000123
OVNS-2018-26979,STUDY00004629,SITE00000368
OVNS-2018-27094,STUDY00005076,SITE00000414
OVNS-2019-28093,STUDY00007701,SITE00000668
OVNS-2019-28215,STUDY00007655,SITE00000663
OVNS-2019-28428,STUDY00009618,SITE00000839
OVNS-2022-30662,STUDY00015956,SITE00001505
OVNS-2022-30662,STUDY00015960,SITE00001580
OVNS-2022-30662,STUDY00015459,SITE00001505
OVNS-2022-30662,STUDY00015458,SITE00001504
OVNS-2022-31181,STUDY00016796,SITE00001673
PACCS-2017-26114,STUDY00001595,SITE00000142
PACCS-2017-26161,STUDY00003412,SITE00000251
PACCS-2017-26278,STUDY00002739,SITE00000180
PACCS-2017-26538,STUDY00003066,SITE00000201
PACCS-2018-26642,STUDY00003418,SITE00000253
PACCS-2018-26738,STUDY00003604,SITE00000267
PACCS-2018-26967,STUDY00004725,SITE00000377
PACCS-2018-27251,STUDY00005576,SITE00000461
PACCS-2019-27559,STUDY00005907,SITE00000489
PACCS-2019-27708,STUDY00011597,SITE00001064
PACCS-2019-27921,STUDY00006911,SITE00000580
PACCS-2019-27923,STUDY00006915,SITE00000581
PACCS-2019-27925,STUDY00006925,SITE00000583
PACCS-2019-28312,STUDY00007994,SITE00000692
PACCS-2019-28334,STUDY00010143,SITE00000898
PACCS-2019-28335,STUDY00008061,SITE00000698
PACCS-2020-28568,STUDY00009046,SITE00000773
PACCS-2020-28603,STUDY00009067,SITE00000774
PACCS-2020-29022,STUDY00010379,SITE00000920
PACCS-2021-29793,STUDY00012925,SITE00001209
PACCS-2021-29832,STUDY00012926,SITE00001210
PACCS-2021-29845,STUDY00013058,SITE00001221
PACCS-2021-29992,STUDY00013957,SITE00001310
PACCS-2021-30089,STUDY00013734,SITE00001283
PACCS-2021-30269,STUDY00016166,SITE00001599
PACCS-2021-30319,STUDY00015649,SITE00001535
PACCS-2021-31011,STUDY00016366,SITE00001615
PACCS-2022-30920,STUDY00016034,SITE00001585
PACCS-2022-31018,STUDY00016379,SITE00001618
PACCS-2022-31040,STUDY00016463,SITE00001630
PACCS-2022-31043,STUDY00016467,SITE00001631
PACCS-2022-31187,STUDY00016828,SITE00001682
PACCS-2022-31529,STUDY00017867,SITE00001806
PACCS-2023-31589,STUDY00018039,SITE00001827
PACCS-2023-31736,STUDY00018543,SITE00001868
PACCS-2023-31798,STUDY00018720,SITE00001882
PACCS-2023-32048,STUDY00019540,SITE00001985
PACCS-2023-32123,STUDY00019716,SITE00002002
PACCS-2023-32126,STUDY00019718,SITE00002003
PACCS-2023-32158,STUDY00019812,SITE00002019
PACCS-2023-32267,STUDY00020121,SITE00002051
PEDS-2016-24816,1702M08441,SITE00000058
PEDS-2016-25161,1606M89621,SITE00000055
PEDS-2017-25745,STUDY00000588,SITE00000047
PEDS-2017-25910,STUDY00000981,SITE00000118
PEDS-2018-26460,STUDY00002938,SITE00000195
PEDS-2018-26916,STUDY00004135,SITE00000325
PEDS-2018-26944,STUDY00012775,SITE00001191
PEDS-2018-26989,STUDY00004939,SITE00000401
PEDS-2018-27033,STUDY00004972,SITE00000405
PEDS-2018-27605,STUDY00006327,SITE00000521
PEDS-2019-27678,STUDY00006738,SITE00000554
PEDS-2019-27726,STUDY00006344,SITE00000523
PEDS-2019-27877,STUDY00006763,SITE00000557
PEDS-2019-27962,STUDY00007165,SITE00000600
PEDS-2019-28147,STUDY00007442,SITE00000636
PEDS-2019-28222,STUDY00008961,SITE00000767
PEDS-2019-28341,STUDY00009013,SITE00000769
PEDS-2019-28352,STUDY00008365,SITE00000716
PEDS-2020-28634,STUDY00009488,SITE00000827
PEDS-2020-28793,STUDY00009694,SITE00000848
PEDS-2020-28802,STUDY00009856,SITE00000866
PEDS-2020-28804,STUDY00009884,SITE00000870
PEDS-2020-28894,STUDY00010175,SITE00000899
PEDS-2020-29153,STUDY00011599,SITE00001065
PEDS-2020-29172,STUDY00010861,SITE00000975
PEDS-2020-29236,STUDY00011044,SITE00001001
PEDS-2020-29260,STUDY00015935,SITE00001576
PEDS-2020-29438,STUDY00011764,SITE00001080
PEDS-2020-29440,STUDY00011812,SITE00001083
PEDS-2021-29516,STUDY00012034,SITE00001104
PEDS-2021-29521,STUDY00013224,SITE00001238
PEDS-2021-29529,STUDY00012613,SITE00001171
PEDS-2021-29618,STUDY00012886,SITE00001201
PEDS-2021-29635,STUDY00012537,SITE00001159
PEDS-2021-29668,STUDY00013943,SITE00001308
PEDS-2021-29728,STUDY00014264,SITE00001338
PEDS-2021-29744,STUDY00013428,SITE00001260
PEDS-2021-29867,STUDY00015665,SITE00001538
PEDS-2021-29897,STUDY00013389,SITE00001256
PEDS-2021-29923,STUDY00013313,SITE00001247
PEDS-2021-29939,STUDY00014680,SITE00001409
PEDS-2021-29942,STUDY00013164,SITE00001229
PEDS-2021-30021,STUDY00013755,SITE00001287
PEDS-2021-30049,STUDY00013749,SITE00001285
PEDS-2021-30116,STUDY00013801,SITE00001291
PEDS-2021-30116,STUDY00014340,SITE00001351
PEDS-2021-30340,STUDY00015024,SITE00001451
PEDS-2021-30494,STUDY00014740,SITE00001419
PEDS-2022-30439,STUDY00016968,SITE00001703
PEDS-2022-30576,STUDY00014990,SITE00001449
PEDS-2022-30578,STUDY00015190,SITE00001473
PEDS-2022-30684,STUDY00018537,SITE00001866
PEDS-2022-30804,STUDY00016751,SITE00001665
PEDS-2022-30932,STUDY00016283,SITE00001609
PEDS-2022-30938,STUDY00017276,SITE00001735
PEDS-2022-31015,STUDY00016428,SITE00001625
PEDS-2022-31137,STUDY00016884,SITE00001694
PEDS-2022-31138,STUDY00018060,SITE00001830
PEDS-2022-31300,STUDY00017738,SITE00001792
PEDS-2022-31330,STUDY00017694,SITE00001788
PEDS-2022-31347,STUDY00017978,SITE00001817
PEDS-2022-31454,STUDY00018652,SITE00001877
PEDS-2022-31456,STUDY00017673,SITE00001785
PEDS-2023-31009,STUDY00018110,SITE00001834
PEDS-2023-31559,STUDY00018569,SITE00001871
PEDS-2023-31584,STUDY00018499,SITE00001862
PEDS-2023-31721,STUDY00018576,SITE00001872
PEDS-2023-31833,STUDY00019011,SITE00001912
PEDS-2023-31940,STUDY00019247,SITE00001938
PEDS-2023-31967,STUDY00019763,SITE00002007
PEDS-2023-31987,STUDY00019323,SITE00001949
PEDS-2023-31994,STUDY00019381,SITE00001965
PEDS-2023-32039,STUDY00019300,SITE00001946
PEDS-2023-32113,STUDY00019905,SITE00002031
PEDS-2023-32129,STUDY00019902,SITE00002030
PMR-2022-30887,STUDY00015941,SITE00001578
PMR-2023-32239,STUDY00019671,SITE00001998
PSYCH-2016-18311,1505M71821,SITE00000013
PSYCH-2016-21943,1305M33581,SITE00000039
PSYCH-2016-22225,1403M48523,SITE00000132
PSYCH-2016-23989,1506M74642,SITE00000121
PSYCH-2016-24964,1608M92741,SITE00000102
PSYCH-2017-25767,STUDY00000460,SITE00000069
PSYCH-2017-26002,STUDY00001809,SITE00000057
PSYCH-2018-26568,STUDY00003419,SITE00000254
PSYCH-2018-26672,STUDY00003692,SITE00000280
PSYCH-2018-26724,STUDY00007212,SITE00000607
